Time,Time Code,Country Name,Country Code,"Intentional homicides (per 100,000 people) [VC.IHR.PSRC.P5]",General government final consumption expenditure (% of GDP) [NE.CON.GOVT.ZS],"Community health workers (per 1,000 people) [SH.MED.CMHW.P3]","School enrollment, tertiary (% gross) [SE.TER.ENRR]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]","Unemployment, youth total (% of total labor force ages 15-24) (national estimate) [SL.UEM.1524.NE.ZS]",Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],Gross domestic savings (% of GDP) [NY.GDS.TOTL.ZS],"Government expenditure per student, tertiary (% of GDP per capita) [SE.XPD.TERT.PC.ZS]","Government expenditure per student, secondary (% of GDP per capita) [SE.XPD.SECO.PC.ZS]","Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Age dependency ratio, young (% of working-age population) [SP.POP.DPND.YG]","GDP per capita, PPP (constant 2021 international $) [NY.GDP.PCAP.PP.KD]",GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],"Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]",GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],Market capitalization of listed domestic companies (% of GDP) [CM.MKT.LCAP.GD.ZS],Trade (% of GDP) [NE.TRD.GNFS.ZS],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",Net migration [SM.POP.NETM],Strength of legal rights index (0=weak to 12=strong) [IC.LGL.CRED.XQ],"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]",Gini index [SI.POV.GINI],Net primary income (Net income from abroad) (constant LCU) [NY.GSR.NFCY.KN],Population growth (annual %) [SP.POP.GROW],"Secondary education, teachers [SE.SEC.TCHR]",Lending interest rate (%) [FR.INR.LEND]
2005,YR2005,Cameroon,CMR,..,10.6901540879413,..,5.95094013214111,27.413049697876,4.4,..,18.6709254882433,18.1641569395427,64.82092,33.94488,2.65651988983154,54.362,84.3637400469344,4149.26267960574,1250.05888282553,1.24860831212236,-0.527954203572861,..,44.9976813478478,2.01353950175986,-27782,..,128.1,..,..,2.73315981250508,48497,..
2005,YR2005,Canada,CAN,2.06109303240051,19.0759109803014,..,..,100.25789642334,6.758,12.399,22.6320421110981,26.618049161035,..,..,4.76588010787964,80.1126829268293,25.5193038858516,51564.8455651212,41006.222931999,2.17816380917594,2.23757658237358,126.346747568222,69.7591330167357,2.21355203439767,204710,..,6.1,33.6,-34920504000,0.94708626967041,..,4.41666666666667
2005,YR2005,Cayman Islands,CYM,6.42033963596674,..,..,..,88.1398315429688,3.54,9.78,..,..,..,19.71134,..,..,25.412719124071,..,..,..,..,..,..,..,985,..,..,..,..,3.13242221135563,275,..
2005,YR2005,Central African Republic,CAF,..,8.70797373464736,..,..,..,..,..,9.86481735599986,1.74234210735226,..,..,1.65222001075745,46.433,86.7176386752228,1242.76859229898,436.100265100646,0.754917589946925,-1.3381825936235,..,35.0709368656226,2.88352073359022,-13609,..,148.7,..,..,2.25132803027483,..,..
2005,YR2005,Chad,TCD,..,4.15740418374382,..,1.45950996875763,15.9912204742432,..,..,20.7043067306768,30.8121100840497,259.03462,24.75466,1.69476997852325,48.312,98.8362848851573,2020.492997428,682.353873385601,-1.49402805700827,12.7411606362719,..,85.8467450268875,7.89036567462993,19281,..,166.9,..,..,3.99174947439079,7312,..
2005,YR2005,Channel Islands,CHI,0.659308780674341,..,..,..,..,..,..,..,..,..,..,..,80.344,24.3201054866639,..,..,..,..,6.08727085478888,..,..,817,..,..,..,..,0.815852624411776,..,..
2005,YR2005,Chile,CHL,3.56098253690455,10.9536305505725,..,50.2735595703125,92.0045623779297,9.34,23.415,23.2677008688995,31.5563106531726,11.11074,12.63158,3.28016996383667,78.016,35.8293018471428,21150.3290936575,10212.7824998686,4.89870698305,4.80751806301836,111.610698793682,72.0625342392623,3.05257621387847,14336,..,9.1,..,..,0.97751001174206,65813,6.67787900981346
2005,YR2005,China,CHN,1.59170802242336,14.7976625421188,0.698,18.5551490783691,..,4.2,..,40.3461495465791,45.6154591019433,..,..,2.39190554618835,74.111,28.1521553151672,6165.18344017524,3390.71615945044,4.55426348223621,10.741375126566,17.5791373366569,62.208021923361,1.77641407667571,-519752,..,24,40.9,..,0.588124989556992,..,5.58
2005,YR2005,Colombia,COL,42.8957763612084,13.9561720687186,..,32.253978729248,86.9616470336914,11.062,22.598,21.6562413080915,18.1756312914623,19.41872,14.4607,..,73.081,46.5519227288434,12191.4410858958,4447.56681730383,7.02979401438226,3.40689564758681,34.6844960912747,37.422697494955,5.05101962689696,-41348,..,21.5,53.9,..,1.36565233876962,164194,14.5608333333333
2005,YR2005,Comoros,COM,..,11.0450612819511,..,..,..,..,..,18.042313166434,-0.0425434813717565,..,..,..,59.604,87.8644672313865,3084.09789272541,1219.99123369987,0.0854737216678342,0.837129282895191,..,35.7574093340398,3.0133239505812,-2717,..,84.8,..,..,1.96439041104988,..,11
